,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
756,757,59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Low,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7,No,11,Excellent,Very High,0,28,3,Good,21,16,7,9
757,758,31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Low,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,Very High,1,5,1,Good,5,2,4,3
759,760,52,No,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,Very High,Male,39,Medium,3,Manufacturing Director,High,Married,7969,19609,2,Yes,14,Excellent,High,0,28,4,Excellent,5,4,0,4
761,762,38,No,Travel_Rarely,330,Research & Development,17,Below College,Life Sciences,High,Female,65,Medium,3,Healthcare Representative,High,Married,8823,24608,0,No,18,Excellent,Low,1,20,4,Good,19,9,1,9
762,763,30,No,Travel_Rarely,1427,Research & Development,2,Below College,Medical,Medium,Male,35,Medium,1,Laboratory Technician,Very High,Single,2720,11162,0,No,13,Excellent,Very High,0,6,3,Excellent,5,3,1,2
763,764,39,Yes,Travel_Frequently,203,Research & Development,2,Bachelor,Life Sciences,Low,Male,84,High,4,Healthcare Representative,Very High,Divorced,12169,13547,7,No,11,Excellent,Very High,3,21,4,Excellent,18,7,11,5
766,767,34,No,Non-Travel,697,Research & Development,3,Master,Life Sciences,High,Male,40,Medium,1,Research Scientist,Very High,Married,2979,22478,3,No,17,Excellent,Very High,3,6,2,Excellent,0,0,0,0
770,771,41,No,Travel_Rarely,1411,Research & Development,19,College,Life Sciences,High,Male,36,High,2,Research Scientist,Low,Divorced,3072,19877,2,No,16,Excellent,Low,2,17,2,Good,1,0,0,0
773,774,26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,High,Male,66,Low,1,Laboratory Technician,Very High,Single,2340,23213,1,Yes,18,Excellent,Medium,0,1,3,Low,1,0,0,0
775,776,42,No,Travel_Frequently,1271,Research & Development,2,Below College,Medical,Medium,Male,35,High,1,Research Scientist,Very High,Single,2515,9068,5,Yes,14,Excellent,Very High,0,8,2,Excellent,2,1,2,2
776,777,41,No,Travel_Rarely,314,Human Resources,1,Bachelor,Human Resources,Very High,Male,59,Medium,5,Manager,High,Married,19189,19562,1,No,12,Excellent,Medium,1,22,3,Excellent,22,7,2,10
777,778,30,No,Travel_Rarely,1358,Sales,16,Below College,Life Sciences,Very High,Male,96,High,2,Sales Executive,High,Married,5301,2939,8,No,15,Excellent,High,2,4,2,Good,2,1,2,2
778,779,30,No,Non-Travel,111,Research & Development,9,Bachelor,Medical,High,Male,66,High,2,Laboratory Technician,Low,Divorced,3072,11012,1,No,11,Excellent,High,2,12,4,Excellent,12,9,6,10
779,780,19,Yes,Travel_Rarely,419,Sales,21,Bachelor,Other,Very High,Male,37,Medium,1,Sales Representative,Medium,Single,2121,9947,1,Yes,13,Excellent,Medium,0,1,3,Outstanding,1,0,0,0
781,782,27,No,Travel_Rarely,618,Research & Development,4,Bachelor,Life Sciences,Medium,Female,76,High,1,Research Scientist,High,Single,2318,17808,1,No,19,Excellent,High,0,1,2,Excellent,1,1,0,0
782,783,38,No,Travel_Rarely,119,Sales,3,Bachelor,Life Sciences,Low,Male,76,High,3,Sales Executive,High,Divorced,10609,9647,0,No,12,Excellent,High,2,17,6,Good,16,10,5,13
783,784,36,No,Non-Travel,1229,Sales,8,Master,Technical Degree,Low,Male,84,High,2,Sales Executive,Very High,Divorced,5079,25952,4,No,13,Excellent,Very High,2,12,3,Excellent,7,7,0,7
785,786,32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,Low,Female,41,High,1,Laboratory Technician,Low,Single,4200,10224,7,No,22,Outstanding,Low,0,10,2,Outstanding,5,4,0,4
786,787,39,No,Travel_Rarely,1329,Sales,4,Master,Life Sciences,Very High,Female,47,Medium,2,Sales Executive,High,Married,5902,14590,4,No,14,Excellent,High,1,17,1,Outstanding,15,11,5,9
787,788,33,Yes,Travel_Frequently,1076,Research & Development,3,Bachelor,Life Sciences,Low,Male,70,High,1,Research Scientist,Low,Single,3348,3164,1,Yes,11,Excellent,Low,0,10,3,Excellent,10,8,9,7
788,789,46,No,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,High,Female,87,High,2,Manufacturing Director,High,Divorced,4810,26314,2,No,14,Excellent,High,1,19,5,Good,10,7,0,8
789,790,46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,High,Female,94,Medium,3,Sales Executive,Very High,Married,9071,11563,2,Yes,19,Excellent,High,1,15,3,Excellent,3,2,1,2
790,791,41,No,Travel_Rarely,263,Research & Development,6,Bachelor,Medical,Very High,Male,59,High,1,Laboratory Technician,Low,Single,4721,3119,2,Yes,13,Excellent,High,0,20,3,Excellent,18,13,2,17
792,793,39,No,Travel_Rarely,141,Human Resources,3,Bachelor,Human Resources,High,Female,44,Very High,2,Human Resources,Medium,Married,6389,18767,9,No,15,Excellent,High,1,12,3,Low,8,3,3,6
794,795,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,Low,Male,67,Very High,2,Sales Executive,Very High,Single,5304,4652,8,Yes,13,Excellent,Medium,0,9,3,Good,5,2,0,4
795,796,34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,Low,Female,53,High,3,Research Director,Medium,Single,11994,21293,0,No,11,Excellent,High,0,13,4,Excellent,12,6,2,11
797,798,29,No,Travel_Rarely,144,Sales,10,Below College,Marketing,Very High,Female,39,Medium,2,Sales Executive,Medium,Divorced,8268,11866,1,Yes,14,Excellent,Low,2,7,2,Excellent,7,7,1,7
798,799,37,No,Travel_Rarely,290,Research & Development,21,Bachelor,Life Sciences,Medium,Male,65,Very High,1,Research Scientist,Low,Married,3564,22977,1,Yes,12,Excellent,Low,1,8,3,Good,8,7,1,7
799,800,35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,No,19,Excellent,Very High,0,1,2,Excellent,1,0,0,1
800,801,46,No,Travel_Rarely,644,Research & Development,1,Master,Medical,Very High,Male,97,High,3,Healthcare Representative,Low,Divorced,9396,12368,7,No,16,Excellent,High,1,17,3,Excellent,4,2,0,3
801,802,47,Yes,Travel_Frequently,719,Sales,27,College,Life Sciences,Medium,Female,77,Very High,2,Sales Executive,High,Single,6397,10339,4,Yes,12,Excellent,Very High,0,8,2,Excellent,5,4,1,3
802,803,30,No,Travel_Frequently,1012,Research & Development,5,Master,Life Sciences,Medium,Male,75,Medium,1,Research Scientist,Very High,Divorced,3761,2373,9,No,12,Excellent,Medium,1,10,3,Good,5,4,0,3
803,804,29,No,Travel_Rarely,1107,Research & Development,28,Master,Life Sciences,High,Female,93,High,1,Research Scientist,Very High,Divorced,2514,26968,4,No,22,Outstanding,Low,1,11,1,Excellent,7,5,1,7
804,805,50,No,Travel_Rarely,1207,Research & Development,28,Below College,Medical,Very High,Male,74,Very High,1,Laboratory Technician,High,Married,3221,3297,1,Yes,11,Excellent,High,3,20,3,Excellent,20,8,3,8
805,806,34,No,Travel_Rarely,1400,Sales,9,Below College,Life Sciences,Medium,Female,70,High,2,Sales Executive,High,Married,5714,5829,1,No,20,Outstanding,Low,0,6,3,Good,6,5,1,3
806,807,31,Yes,Travel_Rarely,330,Research & Development,22,Master,Medical,Very High,Male,98,High,2,Manufacturing Director,High,Married,6179,21057,1,Yes,15,Excellent,Very High,2,10,3,Good,10,2,6,7
807,808,48,No,Travel_Rarely,277,Research & Development,6,Bachelor,Life Sciences,Low,Male,97,Medium,2,Healthcare Representative,High,Single,4240,13119,2,No,13,Excellent,Very High,0,19,0,Excellent,2,2,2,2
810,811,43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,High,Female,74,High,2,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,Excellent,Very High,0,8,3,Excellent,5,2,0,2
811,812,34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,Very High,Male,74,Very High,2,Sales Executive,Very High,Single,5337,19921,1,No,12,Excellent,Very High,0,10,3,Excellent,10,7,5,7
812,813,60,No,Travel_Rarely,696,Sales,7,Master,Marketing,Medium,Male,52,Very High,2,Sales Executive,Very High,Divorced,5220,10893,0,Yes,18,Excellent,Medium,1,12,3,Excellent,11,7,1,9
813,814,52,No,Travel_Rarely,258,Research & Development,8,Master,Other,High,Female,54,High,1,Laboratory Technician,Low,Married,2950,17363,9,No,13,Excellent,High,0,12,2,Low,5,4,0,4
814,815,25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,2889,26897,1,No,11,Excellent,High,2,2,2,Excellent,2,2,2,1
815,816,46,No,Travel_Rarely,705,Sales,2,Master,Marketing,Medium,Female,83,High,5,Manager,Low,Single,18947,22822,3,No,12,Excellent,Very High,0,22,2,Good,2,2,2,1
817,818,29,No,Travel_Rarely,1010,Research & Development,1,Bachelor,Life Sciences,Low,Female,97,High,1,Research Scientist,Very High,Divorced,3760,5598,1,No,15,Excellent,Low,3,3,5,Excellent,3,2,1,2
818,819,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,Low,Male,56,High,2,Sales Executive,Medium,Single,9355,9558,1,No,18,Excellent,High,0,8,5,Excellent,8,7,7,7
819,820,45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,Low,Male,69,High,1,Research Scientist,Very High,Married,2654,9655,3,No,21,Outstanding,Very High,2,8,3,Good,2,2,0,2
820,821,30,No,Travel_Rarely,855,Sales,7,Master,Marketing,Very High,Female,73,High,2,Sales Executive,Low,Divorced,4779,12761,7,No,14,Excellent,Medium,2,8,3,Excellent,3,2,0,2
821,822,33,No,Travel_Frequently,1146,Sales,25,Bachelor,Medical,Medium,Female,82,High,2,Sales Executive,High,Married,4539,4905,1,No,12,Excellent,Low,1,10,3,Good,10,7,0,1
822,823,33,No,Travel_Rarely,147,Human Resources,2,Bachelor,Human Resources,Medium,Male,99,High,1,Human Resources,High,Married,3600,8429,1,No,13,Excellent,Very High,1,5,2,Excellent,5,4,1,4
823,824,42,No,Travel_Frequently,748,Research & Development,9,College,Medical,Low,Female,74,High,1,Laboratory Technician,Very High,Single,3673,16458,1,No,13,Excellent,High,0,12,3,Excellent,12,9,5,8
824,825,43,No,Travel_Rarely,531,Sales,4,Master,Marketing,Very High,Female,56,Medium,3,Sales Executive,Very High,Single,10231,20364,3,No,14,Excellent,Very High,0,23,3,Outstanding,21,7,15,17
825,826,39,No,Travel_Rarely,466,Research & Development,1,Below College,Life Sciences,Very High,Female,65,Medium,4,Manufacturing Director,Very High,Married,12742,7060,1,No,16,Excellent,High,1,21,3,Excellent,21,6,11,8
826,827,39,No,Travel_Rarely,1431,Research & Development,1,Master,Medical,High,Female,96,High,1,Laboratory Technician,High,Divorced,2232,15417,7,No,14,Excellent,High,3,7,1,Excellent,3,2,1,2
827,828,35,No,Non-Travel,1212,Sales,8,College,Marketing,High,Female,78,Medium,3,Sales Executive,Very High,Married,10377,13755,4,Yes,11,Excellent,Medium,1,16,6,Good,13,2,4,12
829,830,26,Yes,Travel_Rarely,1449,Research & Development,16,Master,Medical,Low,Male,45,High,1,Laboratory Technician,Medium,Divorced,2373,14180,2,Yes,13,Excellent,Very High,1,5,2,Excellent,3,2,0,2
831,832,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,High,Female,87,High,2,Sales Executive,Very High,Married,4936,14862,4,No,11,Excellent,High,1,18,2,Good,7,7,0,7
833,834,40,No,Travel_Rarely,1202,Research & Development,2,Below College,Medical,Medium,Female,89,Very High,2,Healthcare Representative,High,Divorced,6377,13888,5,No,20,Outstanding,Medium,3,15,0,Excellent,12,11,11,8
834,835,32,No,Travel_Rarely,604,Sales,8,Bachelor,Medical,High,Male,56,Very High,2,Sales Executive,Very High,Married,6209,11693,1,No,15,Excellent,High,2,10,4,Outstanding,10,7,0,8
835,836,28,No,Travel_Rarely,995,Research & Development,9,Bachelor,Medical,High,Female,77,High,1,Research Scientist,High,Divorced,2377,9834,5,No,18,Excellent,Medium,1,6,2,Excellent,2,2,2,2
838,839,40,No,Travel_Rarely,1398,Sales,2,Master,Life Sciences,High,Female,79,High,5,Manager,High,Married,18041,13022,0,No,14,Excellent,Very High,0,21,2,Excellent,20,15,1,12
839,840,45,No,Travel_Frequently,1249,Research & Development,7,Bachelor,Life Sciences,Low,Male,97,High,3,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,Excellent,Low,1,24,2,Excellent,24,9,9,11
840,841,44,No,Travel_Rarely,1315,Research & Development,3,Master,Other,Very High,Male,35,High,5,Manager,Very High,Married,19513,9358,4,Yes,12,Excellent,Low,1,26,2,Outstanding,2,2,0,1
841,842,50,No,Travel_Rarely,1322,Research & Development,28,Bachelor,Life Sciences,Very High,Female,43,High,4,Research Director,Low,Married,16880,22422,4,Yes,11,Excellent,Medium,0,25,2,Excellent,3,2,1,2
842,843,45,No,Non-Travel,248,Research & Development,23,College,Life Sciences,Very High,Male,42,High,2,Laboratory Technician,Low,Married,3633,14039,1,Yes,15,Excellent,High,1,9,2,Excellent,9,8,0,8
843,844,35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Medium,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,No,22,Outstanding,Very High,1,9,3,Good,9,8,1,8
844,845,48,No,Travel_Rarely,855,Research & Development,4,Bachelor,Life Sciences,Very High,Male,54,High,3,Manufacturing Director,Very High,Single,7898,18706,1,No,11,Excellent,High,0,11,2,Excellent,10,9,0,8
845,846,40,No,Travel_Rarely,1300,Research & Development,24,College,Technical Degree,Low,Male,62,High,2,Research Scientist,Very High,Divorced,3319,24447,1,No,17,Excellent,Low,2,9,3,Excellent,9,8,4,7
846,847,42,No,Travel_Rarely,544,Human Resources,2,Below College,Technical Degree,High,Male,52,High,1,Human Resources,High,Divorced,2696,24017,0,Yes,11,Excellent,High,1,4,5,Excellent,3,2,1,0
848,849,21,No,Travel_Rarely,996,Research & Development,3,College,Medical,Very High,Male,100,Medium,1,Research Scientist,High,Single,3230,10531,1,No,17,Excellent,Low,0,3,4,Outstanding,3,2,1,0
849,850,38,No,Travel_Rarely,268,Research & Development,2,Doctor,Medical,Very High,Male,92,High,1,Research Scientist,High,Married,3057,20471,6,Yes,13,Excellent,Medium,1,6,0,Low,1,0,0,1
850,851,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,High,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Excellent,High,1,4,3,Excellent,2,2,2,2
851,852,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,Low,Male,84,Low,1,Research Scientist,Very High,Married,3464,24737,5,Yes,13,Excellent,Very High,0,5,4,Good,3,2,2,2
853,854,53,No,Travel_Rarely,1376,Sales,2,College,Medical,High,Male,45,High,4,Manager,High,Divorced,14852,13938,6,No,13,Excellent,High,1,22,3,Outstanding,17,13,15,2
854,855,35,No,Travel_Frequently,200,Research & Development,18,College,Life Sciences,High,Male,60,High,3,Manufacturing Director,Very High,Single,9362,19944,2,No,11,Excellent,High,0,10,2,Excellent,2,2,2,2
855,856,36,No,Travel_Frequently,1480,Research & Development,3,College,Medical,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2088,15062,4,No,12,Excellent,High,0,13,3,Good,8,7,7,2
856,857,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,High,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Excellent,Medium,3,17,2,Excellent,17,14,12,8
857,858,59,No,Travel_Rarely,715,Research & Development,2,Bachelor,Life Sciences,High,Female,69,Medium,4,Manufacturing Director,Very High,Single,13726,21829,3,Yes,13,Excellent,Low,0,30,4,Excellent,5,3,4,3
862,863,49,No,Travel_Rarely,174,Sales,8,Master,Technical Degree,Very High,Male,56,Medium,4,Sales Executive,Medium,Married,13120,11879,6,No,17,Excellent,Medium,1,22,3,Excellent,9,8,2,3
863,864,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Medium,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,No,12,Excellent,Medium,0,5,3,Excellent,1,0,0,0
866,867,53,No,Travel_Rarely,970,Research & Development,7,Bachelor,Life Sciences,High,Male,59,Very High,4,Research Director,High,Married,14814,13514,3,No,19,Excellent,High,0,32,3,Excellent,5,1,1,3
867,868,53,No,Travel_Rarely,868,Sales,8,Bachelor,Marketing,Low,Male,73,High,4,Sales Executive,Very High,Married,11836,22789,5,No,14,Excellent,High,1,28,3,Excellent,2,0,2,2
871,872,31,Yes,Travel_Frequently,1445,Research & Development,1,Doctor,Life Sciences,High,Female,100,Very High,3,Manufacturing Director,Medium,Single,7446,8931,1,No,11,Excellent,Low,0,10,2,Excellent,10,8,4,7
873,874,29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Medium,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,Excellent,High,1,10,1,Excellent,10,9,8,8
875,876,26,Yes,Travel_Frequently,342,Research & Development,2,Bachelor,Life Sciences,Low,Male,57,High,1,Research Scientist,Low,Married,2042,15346,6,Yes,14,Excellent,Medium,1,6,2,Excellent,3,2,1,2
876,877,20,Yes,Travel_Rarely,500,Sales,2,Bachelor,Medical,High,Female,49,Medium,1,Sales Representative,High,Single,2044,22052,1,No,13,Excellent,Very High,0,2,3,Good,2,2,0,2
877,878,31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,Medium,Male,77,High,2,Sales Executive,Very High,Single,6582,8346,4,Yes,13,Excellent,High,0,10,2,Outstanding,6,5,0,5
878,879,33,No,Travel_Rarely,1075,Human Resources,3,College,Human Resources,Very High,Male,57,High,1,Human Resources,Medium,Divorced,2277,22650,3,Yes,11,Excellent,High,1,7,4,Outstanding,4,3,0,3
879,880,25,No,Travel_Rarely,949,Research & Development,1,Bachelor,Technical Degree,Low,Male,81,High,1,Laboratory Technician,Very High,Married,3229,4910,4,No,11,Excellent,Medium,1,7,2,Good,3,2,0,2
880,881,34,No,Travel_Rarely,1442,Research & Development,9,Bachelor,Medical,Very High,Female,46,Medium,3,Healthcare Representative,Medium,Single,8621,17654,1,No,14,Excellent,Medium,0,9,3,Outstanding,8,7,7,7
882,883,33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,Low,Female,98,High,3,Research Director,Very High,Single,13458,15146,1,Yes,12,Excellent,High,0,15,1,Excellent,15,14,8,12
883,884,45,No,Travel_Rarely,1448,Research & Development,29,Bachelor,Technical Degree,Medium,Male,55,High,3,Manufacturing Director,Very High,Married,9380,14720,4,Yes,18,Excellent,Very High,2,10,4,Outstanding,3,1,1,2
884,885,40,No,Travel_Frequently,902,Research & Development,26,College,Medical,High,Female,92,Medium,2,Research Scientist,Very High,Married,4422,21203,3,Yes,13,Excellent,Very High,1,16,3,Low,1,1,0,0
886,887,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,Low,Female,43,High,1,Research Scientist,Medium,Married,2244,24440,1,No,13,Excellent,Very High,1,2,1,Excellent,2,1,1,2
887,888,38,Yes,Travel_Rarely,1180,Research & Development,29,Below College,Medical,Medium,Male,70,High,2,Healthcare Representative,Low,Married,6673,11354,7,Yes,19,Excellent,Medium,0,17,2,Excellent,1,0,0,0
889,890,43,No,Travel_Rarely,782,Research & Development,6,Master,Other,Medium,Male,50,Medium,4,Research Director,Very High,Divorced,16627,2671,4,Yes,14,Excellent,High,1,21,3,Good,1,0,0,0
891,892,48,No,Travel_Rarely,530,Sales,29,Below College,Medical,Low,Female,91,High,3,Manager,High,Married,12504,23978,3,No,21,Outstanding,Medium,1,15,3,Low,0,0,0,0
892,893,18,No,Non-Travel,287,Research & Development,5,College,Life Sciences,Medium,Male,73,High,1,Research Scientist,Very High,Single,1051,13493,1,No,15,Excellent,Very High,0,0,2,Excellent,0,0,0,0
894,895,35,No,Travel_Rarely,1296,Research & Development,5,Master,Technical Degree,High,Male,62,High,3,Manufacturing Director,Medium,Single,8095,18264,0,No,13,Excellent,Very High,0,17,5,Excellent,16,6,0,13
895,896,28,No,Travel_Frequently,193,Research & Development,2,Bachelor,Life Sciences,Very High,Male,52,Medium,1,Laboratory Technician,Very High,Married,3867,14222,1,Yes,12,Excellent,Medium,1,2,2,Excellent,2,2,2,2
898,899,48,No,Travel_Rarely,1236,Research & Development,1,Master,Life Sciences,Very High,Female,40,Medium,4,Manager,Low,Married,15402,17997,7,No,11,Excellent,Low,1,21,3,Low,3,2,0,2
900,901,40,No,Travel_Rarely,989,Research & Development,4,Below College,Medical,Very High,Female,46,High,5,Manager,High,Married,19033,6499,1,No,14,Excellent,Medium,1,21,2,Excellent,20,8,9,9
904,905,25,No,Travel_Rarely,141,Sales,3,Below College,Other,High,Male,98,High,2,Sales Executive,Low,Married,4194,14363,1,Yes,18,Excellent,Very High,0,5,3,Excellent,5,3,0,3
905,906,29,Yes,Travel_Rarely,806,Research & Development,7,Bachelor,Technical Degree,Medium,Female,39,High,1,Laboratory Technician,High,Divorced,3339,17285,3,Yes,13,Excellent,Low,2,10,2,Excellent,7,7,7,7
906,907,55,No,Travel_Frequently,1091,Research & Development,2,Below College,Life Sciences,Very High,Male,65,High,3,Manufacturing Director,Medium,Married,10976,15813,3,No,18,Excellent,Medium,1,23,4,Excellent,3,2,1,2
908,909,31,No,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,High,Male,33,High,3,Manufacturing Director,Medium,Divorced,10648,14394,1,No,25,Outstanding,Very High,1,13,6,Outstanding,13,8,0,8
911,912,36,No,Travel_Rarely,216,Research & Development,6,College,Medical,Medium,Male,84,High,2,Manufacturing Director,Medium,Divorced,4941,2819,6,No,20,Outstanding,Very High,2,7,0,Excellent,3,2,0,1
913,914,38,No,Travel_Rarely,1009,Sales,2,College,Life Sciences,Medium,Female,31,High,2,Sales Executive,Low,Divorced,6893,19461,3,No,15,Excellent,Very High,1,11,3,Excellent,7,7,1,7
914,915,56,No,Travel_Rarely,713,Research & Development,8,Bachelor,Life Sciences,High,Female,67,High,1,Research Scientist,Low,Divorced,4257,13939,4,Yes,18,Excellent,High,1,19,3,Excellent,2,2,2,2
915,916,59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Low,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,No,11,Excellent,Very High,0,20,2,Good,4,3,1,3
917,918,27,No,Travel_Rarely,1220,Research & Development,5,Bachelor,Life Sciences,High,Female,85,High,1,Research Scientist,Medium,Single,2478,20938,1,Yes,12,Excellent,Medium,0,4,2,Good,4,3,1,2
918,919,35,No,Travel_Rarely,882,Sales,3,Master,Life Sciences,Very High,Male,92,High,3,Sales Executive,Very High,Divorced,7823,6812,6,No,13,Excellent,Medium,1,12,2,Excellent,10,9,0,8
921,922,34,No,Travel_Rarely,546,Research & Development,10,Bachelor,Life Sciences,Medium,Male,83,High,1,Laboratory Technician,Medium,Divorced,2008,6896,1,No,14,Excellent,Medium,2,1,3,Excellent,1,0,1,0
923,924,42,No,Travel_Rarely,916,Research & Development,17,College,Life Sciences,Very High,Female,82,Very High,2,Research Scientist,Low,Single,6545,23016,3,Yes,13,Excellent,High,0,10,1,Excellent,3,2,0,2
925,926,34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,High,Female,45,Medium,2,Research Scientist,Medium,Divorced,4505,15000,6,No,15,Excellent,High,1,12,3,Excellent,1,0,0,0
926,927,41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,Medium,Male,49,Very High,3,Sales Executive,Low,Married,8392,19566,1,No,16,Excellent,High,1,10,2,Excellent,10,7,0,7
927,928,26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,Medium,Female,58,High,1,Human Resources,High,Divorced,2741,22808,0,Yes,11,Excellent,Medium,1,8,2,Good,7,7,1,0
930,931,31,Yes,Travel_Frequently,874,Research & Development,15,Bachelor,Medical,High,Male,72,High,1,Laboratory Technician,High,Married,2610,6233,1,No,12,Excellent,High,1,2,5,Good,2,2,2,2
931,932,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,Low,Male,52,Medium,1,Human Resources,Very High,Single,2564,18437,1,No,12,Excellent,High,0,1,3,Outstanding,1,0,0,0
932,933,32,No,Travel_Rarely,638,Research & Development,8,College,Medical,High,Female,91,Very High,2,Research Scientist,High,Married,5175,22162,5,No,12,Excellent,High,1,9,3,Good,5,3,1,3
933,934,50,No,Non-Travel,145,Sales,1,Bachelor,Life Sciences,Very High,Female,95,High,2,Sales Executive,High,Married,6347,24920,0,No,12,Excellent,Low,1,19,3,Excellent,18,7,0,13
934,935,36,No,Non-Travel,217,Research & Development,18,Master,Life Sciences,Low,Male,78,High,2,Manufacturing Director,Very High,Single,7779,23238,2,No,20,Outstanding,Low,0,18,0,Excellent,11,9,0,9
935,936,44,No,Travel_Rarely,1099,Sales,5,Bachelor,Marketing,Medium,Male,88,High,5,Manager,Medium,Married,18213,8751,7,No,11,Excellent,High,1,26,5,Excellent,22,9,3,10
936,937,25,No,Travel_Rarely,810,Sales,8,Bachelor,Life Sciences,Very High,Male,57,Very High,2,Sales Executive,Medium,Married,4851,15678,0,No,22,Outstanding,High,1,4,4,Excellent,3,2,1,2
937,938,33,No,Travel_Rarely,461,Research & Development,13,Below College,Life Sciences,Medium,Female,53,High,1,Research Scientist,Very High,Single,3452,17241,3,No,18,Excellent,Low,0,5,4,Excellent,3,2,0,2
938,939,27,No,Travel_Rarely,1103,Research & Development,14,Bachelor,Life Sciences,Low,Male,42,High,1,Research Scientist,Low,Married,2235,14377,1,Yes,14,Excellent,Very High,2,9,3,Good,9,7,6,8
939,940,29,No,Travel_Rarely,718,Research & Development,8,Below College,Medical,Medium,Male,79,Medium,2,Manufacturing Director,Very High,Married,5056,17689,1,Yes,15,Excellent,High,1,10,2,Good,10,7,1,2
940,941,50,No,Travel_Rarely,328,Research & Development,1,Bachelor,Medical,High,Male,86,Medium,1,Laboratory Technician,High,Married,3690,3425,2,No,15,Excellent,Very High,1,5,2,Good,3,2,0,2
941,942,25,No,Travel_Rarely,266,Research & Development,1,Bachelor,Medical,Very High,Female,40,High,1,Research Scientist,Medium,Single,2096,18830,1,No,18,Excellent,Very High,0,2,3,Good,2,2,2,1
942,943,35,No,Travel_Rarely,528,Human Resources,8,Master,Technical Degree,High,Male,100,High,1,Human Resources,High,Single,4323,7108,1,No,17,Excellent,Medium,0,6,2,Low,5,4,1,4
944,945,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,Very High,Female,34,High,1,Sales Representative,High,Single,2851,9150,1,Yes,13,Excellent,Medium,0,1,2,Excellent,1,0,0,0
946,947,57,No,Travel_Rarely,210,Sales,29,Bachelor,Marketing,Low,Male,56,Medium,4,Manager,Very High,Divorced,14118,22102,3,No,12,Excellent,High,1,32,3,Good,1,0,0,0
947,948,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,High,1,19,6,Outstanding,1,0,0,0
